image_pair_id,left_cropped_image,right_cropped_image,algorithm,params,runtime_ms,computed_disparity,left_crop_bbox_x_rect,left_crop_bbox_y_rect,left_crop_bbox_w_rect,left_crop_bbox_h_rect,detection_confidence_left,gt_avg_disparity,absolute_error
1,left_01_cropped.jpg,right_01_cropped.jpg,ROIDisparity,{},0.0292400000034831,,896,484,177,180,0.8792722225189209,83.0,
2,left_02_cropped.jpg,right_02_cropped.jpg,ROIDisparity,{},0.0162219999992885,,1121,442,188,207,0.9008936285972596,85.0,
3,left_03_cropped.jpg,right_03_cropped.jpg,ROIDisparity,{},0.0244070000690044,,1164,464,194,195,0.9189115166664124,90.8,
4,left_04_cropped.jpg,right_04_cropped.jpg,ROIDisparity,{},0.0355930000068838,,1402,471,201,185,0.9189115166664124,83.0,
5,left_05_cropped.jpg,right_05_cropped.jpg,ROIDisparity,{},0.0360189999355498,,1371,769,235,237,0.9189115166664124,105.0,
6,left_06_cropped.jpg,right_06_cropped.jpg,ROIDisparity,{},0.0284810000721336,,1122,759,234,242,0.9189115166664124,115.0,
7,left_07_cropped.jpg,right_07_cropped.jpg,ROIDisparity,{},0.0279810000165525,,813,736,236,231,0.8936864733695984,114.5,
8,left_08_cropped.jpg,right_08_cropped.jpg,ROIDisparity,{},0.0549999999748251,,873,1042,259,254,0.8688071966171265,137.5,
9,left_09_cropped.jpg,right_09_cropped.jpg,ROIDisparity,{},0.0272229999609407,,1168,1034,268,262,0.8758706450462341,138.0,
10,left_10_cropped.jpg,right_10_cropped.jpg,ROIDisparity,{},0.031222000075104,,1444,956,289,297,0.90449720621109,130.0,
100,left_100_cropped.jpg,right_100_cropped.jpg,ROIDisparity,{},0.0286110000615735,,855,145,354,398,0.8723389506340027,193.5,
101,left_101_cropped.jpg,right_101_cropped.jpg,ROIDisparity,{},0.0411669999493824,,421,124,369,383,0.8758706450462341,175.5,
102,left_102_cropped.jpg,right_102_cropped.jpg,ROIDisparity,{},0.0302590000273994,,640,360,435,425,0.8935293555259705,219.5,
103,left_103_cropped.jpg,right_103_cropped.jpg,ROIDisparity,{},0.0586479999356015,,1421,304,467,435,0.8546802401542664,170.0,
104,left_104_cropped.jpg,right_104_cropped.jpg,ROIDisparity,{},0.0460740000107762,,1343,92,358,371,0.9005928039550781,198.0,
105,left_105_cropped.jpg,right_105_cropped.jpg,ROIDisparity,{},0.0524810000115394,,1162,478,431,420,0.9005928039550781,246.0,
11,left_11_cropped.jpg,right_11_cropped.jpg,ROIDisparity,{},0.0480919999290563,,1477,797,247,241,0.897290050983429,104.5,
12,left_12_cropped.jpg,right_12_cropped.jpg,ROIDisparity,{},0.0398890000496976,,1540,558,221,204,0.9153079390525818,101.0,
13,left_13_cropped.jpg,right_13_cropped.jpg,ROIDisparity,{},0.0321850000091217,,1315,380,162,157,0.8792722225189209,94.0,
137,left_137_cropped.jpg,right_137_cropped.jpg,ROIDisparity,{},0.0368890000572719,,888,833,317,463,0.8582119941711426,,
138,left_138_cropped.jpg,right_138_cropped.jpg,ROIDisparity,{},0.0607590000072377,,1075,835,354,461,0.8370215892791748,,
139,left_139_cropped.jpg,right_139_cropped.jpg,ROIDisparity,{},0.0385929999993095,,1098,852,346,444,0.8829341530799866,,
14,left_14_cropped.jpg,right_14_cropped.jpg,ROIDisparity,{},0.0479440000162867,,1206,394,178,182,0.9008936285972596,83.0,
140,left_140_cropped.jpg,right_140_cropped.jpg,ROIDisparity,{},0.0589999999647261,,1108,856,348,440,0.8794023990631104,,
141,left_141_cropped.jpg,right_141_cropped.jpg,ROIDisparity,{},0.0820740000335717,,1130,828,376,468,0.8334898352622986,,
142,left_142_cropped.jpg,right_142_cropped.jpg,ROIDisparity,{},0.0649259999363494,,1025,849,339,447,0.8935293555259705,,
143,left_143_cropped.jpg,right_143_cropped.jpg,ROIDisparity,{},0.0489819999529572,,982,853,280,302,0.90449720621109,,
144,left_144_cropped.jpg,right_144_cropped.jpg,ROIDisparity,{},0.058519000049273,,948,442,228,216,0.8756686449050903,,
145,left_145_cropped.jpg,right_145_cropped.jpg,ROIDisparity,{},0.0555369999801769,,944,438,238,228,0.8576507568359375,,
15,left_15_cropped.jpg,right_15_cropped.jpg,ROIDisparity,{},0.0473149999606903,,1021,526,193,198,0.897290050983429,109.0,
153,left_153_cropped.jpg,right_153_cropped.jpg,ROIDisparity,{},0.0625370000761904,,854,855,300,325,0.8829341530799866,,
154,left_154_cropped.jpg,right_154_cropped.jpg,ROIDisparity,{},0.0557959999696322,,909,640,158,174,0.8828758001327515,,
155,left_155_cropped.jpg,right_155_cropped.jpg,ROIDisparity,{},0.0515180000775217,,907,446,160,191,0.7063006162643433,,
156,left_156_cropped.jpg,right_156_cropped.jpg,ROIDisparity,{},0.0521670000352969,,915,462,205,233,0.8900828957557678,,
157,left_157_cropped.jpg,right_157_cropped.jpg,ROIDisparity,{},0.0531480000063311,,1018,441,145,180,0.760354220867157,,
158,left_158_cropped.jpg,right_158_cropped.jpg,ROIDisparity,{},0.0381480000442024,,1081,466,106,141,0.3423395752906799,,
159,left_159_cropped.jpg,right_159_cropped.jpg,ROIDisparity,{},0.0272769999583033,,1146,519,100,110,0.6630577445030212,,
16,left_16_cropped.jpg,right_16_cropped.jpg,ROIDisparity,{},0.0174809999862191,,997,458,168,164,0.8900828957557678,85.0,
160,left_160_cropped.jpg,right_160_cropped.jpg,ROIDisparity,{},0.0176859999783118,,1143,554,89,107,0.6054005026817322,,
161,left_161_cropped.jpg,right_161_cropped.jpg,ROIDisparity,{},0.0216659999523471,,1184,578,90,103,0.6738684773445129,,
162,left_162_cropped.jpg,right_162_cropped.jpg,ROIDisparity,{},0.0177590000021155,,1215,611,85,93,0.4720682799816131,,
17,left_17_cropped.jpg,right_17_cropped.jpg,ROIDisparity,{},0.0329629999669123,,869,596,206,198,0.8828758001327515,57.0,
177,left_177_cropped.jpg,right_177_cropped.jpg,ROIDisparity,{},0.0261479999608127,,1215,618,115,126,0.4468432366847992,,
178,left_178_cropped.jpg,right_178_cropped.jpg,ROIDisparity,{},0.0410369999599424,,1138,554,143,160,0.6162112355232239,,
179,left_179_cropped.jpg,right_179_cropped.jpg,ROIDisparity,{},0.0531849999561018,,1050,488,202,190,0.8216149806976318,,
18,left_18_cropped.jpg,right_18_cropped.jpg,ROIDisparity,{},0.0343520000569697,,1386,602,200,194,0.886479377746582,68.5,
180,left_180_cropped.jpg,right_180_cropped.jpg,ROIDisparity,{},0.0417960000049788,,595,491,335,322,0.8899976015090942,,
181,left_181_cropped.jpg,right_181_cropped.jpg,ROIDisparity,{},0.0426850000394551,,1336,518,242,246,0.8900828957557678,,
182,left_182_cropped.jpg,right_182_cropped.jpg,ROIDisparity,{},0.0891290000026856,,1237,240,236,230,0.8612543344497681,,
183,left_183_cropped.jpg,right_183_cropped.jpg,ROIDisparity,{},0.0555740000436344,,1043,444,241,252,0.897290050983429,,
184,left_184_cropped.jpg,right_184_cropped.jpg,ROIDisparity,{},0.0536669999746663,,1266,303,275,273,0.90449720621109,,
185,left_185_cropped.jpg,right_185_cropped.jpg,ROIDisparity,{},0.0521289999824148,,1151,437,287,276,0.9189115166664124,,
186,left_186_cropped.jpg,right_186_cropped.jpg,ROIDisparity,{},0.0697410000611853,,1517,621,614,589,0.9005928039550781,,
187,left_187_cropped.jpg,right_187_cropped.jpg,ROIDisparity,{},0.0768889999562816,,1258,608,917,688,0.8653315305709839,,
188,left_188_cropped.jpg,right_188_cropped.jpg,ROIDisparity,{},0.0627219999387307,,1143,630,934,666,0.8653315305709839,,
189,left_189_cropped.jpg,right_189_cropped.jpg,ROIDisparity,{},0.0641480000922456,,1161,642,910,654,0.8653315305709839,,
19,left_19_cropped.jpg,right_19_cropped.jpg,ROIDisparity,{},0.0536659999852418,,1451,443,185,187,0.8792722225189209,88.0,
190,left_190_cropped.jpg,right_190_cropped.jpg,ROIDisparity,{},0.0723890000244864,,1146,604,917,692,0.858544647693634,,
191,left_191_cropped.jpg,right_191_cropped.jpg,ROIDisparity,{},0.0454260000424255,,1251,589,102,108,0.7495434880256653,,
193,left_193_cropped.jpg,right_193_cropped.jpg,ROIDisparity,{},0.0436660000104893,,1215,601,88,95,0.4972932934761047,,
203,left_203_cropped.jpg,right_203_cropped.jpg,ROIDisparity,{},0.0521110000590852,,1260,614,95,97,0.6630577445030212,,
205,left_205_cropped.jpg,right_205_cropped.jpg,ROIDisparity,{},0.0541480000038063,,1147,568,124,123,0.6342291235923767,,
206,left_206_cropped.jpg,right_206_cropped.jpg,ROIDisparity,{},0.0427779999654376,,1115,472,144,155,0.8144078850746155,,
207,left_207_cropped.jpg,right_207_cropped.jpg,ROIDisparity,{},0.0362959999620216,,901,354,196,201,0.8720650672912598,,
208,left_208_cropped.jpg,right_208_cropped.jpg,ROIDisparity,{},0.0512780000008206,,1143,484,277,276,0.9189115166664124,,
209,left_209_cropped.jpg,right_209_cropped.jpg,ROIDisparity,{},0.0606109999807813,,1036,51,296,328,0.886465847492218,,
210,left_210_cropped.jpg,right_210_cropped.jpg,ROIDisparity,{},0.0428509999892412,,1348,476,297,304,0.897290050983429,,
211,left_211_cropped.jpg,right_211_cropped.jpg,ROIDisparity,{},0.0454449999551798,,1180,437,289,295,0.886479377746582,,
212,left_212_cropped.jpg,right_212_cropped.jpg,ROIDisparity,{},0.0490370000534312,,1339,534,462,454,0.8970611095428467,,
213,left_213_cropped.jpg,right_213_cropped.jpg,ROIDisparity,{},0.0559809999458593,,1110,791,716,505,0.6481502652168274,,
214,left_214_cropped.jpg,right_214_cropped.jpg,ROIDisparity,{},0.0594260000070789,,1089,805,811,491,0.3936410248279571,,
215,left_215_cropped.jpg,right_215_cropped.jpg,ROIDisparity,{},0.0683339999341114,,61,0,306,176,0.3423395752906799,,
216,left_216_cropped.jpg,right_216_cropped.jpg,ROIDisparity,{},0.0607780000336788,,1076,800,744,496,0.5429531335830688,,
38,left_38_cropped.jpg,right_38_cropped.jpg,ROIDisparity,{},0.0448329999471752,,1084,323,185,186,0.9081007838249208,30.0,
39,left_39_cropped.jpg,right_39_cropped.jpg,ROIDisparity,{},0.0422970000499844,,1280,508,214,208,0.9081007838249208,114.5,
53,left_53_cropped.jpg,right_53_cropped.jpg,ROIDisparity,{},0.0570189999962167,,1477,434,519,471,0.8935293555259705,256.0,
