image_pair_id,left_cropped_image,right_cropped_image,algorithm,params,runtime_ms,computed_disparity,left_crop_bbox_x_rect,left_crop_bbox_y_rect,left_crop_bbox_w_rect,left_crop_bbox_h_rect,detection_confidence_left
01,left_01_cropped.jpg,right_01_cropped.jpg,ROIDisparity,{},0.029240000003483146,,896,484,177,180,0.8792722225189209
02,left_02_cropped.jpg,right_02_cropped.jpg,ROIDisparity,{},0.016221999999288528,,1121,442,188,207,0.9008936285972595
03,left_03_cropped.jpg,right_03_cropped.jpg,ROIDisparity,{},0.024407000069004425,,1164,464,194,195,0.9189115166664124
04,left_04_cropped.jpg,right_04_cropped.jpg,ROIDisparity,{},0.03559300000688381,,1402,471,201,185,0.9189115166664124
05,left_05_cropped.jpg,right_05_cropped.jpg,ROIDisparity,{},0.0360189999355498,,1371,769,235,237,0.9189115166664124
06,left_06_cropped.jpg,right_06_cropped.jpg,ROIDisparity,{},0.02848100007213361,,1122,759,234,242,0.9189115166664124
07,left_07_cropped.jpg,right_07_cropped.jpg,ROIDisparity,{},0.02798100001655257,,813,736,236,231,0.8936864733695984
08,left_08_cropped.jpg,right_08_cropped.jpg,ROIDisparity,{},0.05499999997482519,,873,1042,259,254,0.8688071966171265
09,left_09_cropped.jpg,right_09_cropped.jpg,ROIDisparity,{},0.027222999960940797,,1168,1034,268,262,0.8758706450462341
10,left_10_cropped.jpg,right_10_cropped.jpg,ROIDisparity,{},0.031222000075104006,,1444,956,289,297,0.9044972062110901
100,left_100_cropped.jpg,right_100_cropped.jpg,ROIDisparity,{},0.028611000061573577,,855,145,354,398,0.8723389506340027
101,left_101_cropped.jpg,right_101_cropped.jpg,ROIDisparity,{},0.04116699994938244,,421,124,369,383,0.8758706450462341
102,left_102_cropped.jpg,right_102_cropped.jpg,ROIDisparity,{},0.030259000027399452,,640,360,435,425,0.8935293555259705
103,left_103_cropped.jpg,right_103_cropped.jpg,ROIDisparity,{},0.05864799993560155,,1421,304,467,435,0.8546802401542664
104,left_104_cropped.jpg,right_104_cropped.jpg,ROIDisparity,{},0.04607400001077622,,1343,92,358,371,0.9005928039550781
105,left_105_cropped.jpg,right_105_cropped.jpg,ROIDisparity,{},0.052481000011539436,,1162,478,431,420,0.9005928039550781
11,left_11_cropped.jpg,right_11_cropped.jpg,ROIDisparity,{},0.04809199992905633,,1477,797,247,241,0.897290050983429
12,left_12_cropped.jpg,right_12_cropped.jpg,ROIDisparity,{},0.03988900004969764,,1540,558,221,204,0.9153079390525818
13,left_13_cropped.jpg,right_13_cropped.jpg,ROIDisparity,{},0.03218500000912172,,1315,380,162,157,0.8792722225189209
137,left_137_cropped.jpg,right_137_cropped.jpg,ROIDisparity,{},0.036889000057271915,,888,833,317,463,0.8582119941711426
138,left_138_cropped.jpg,right_138_cropped.jpg,ROIDisparity,{},0.06075900000723777,,1075,835,354,461,0.8370215892791748
139,left_139_cropped.jpg,right_139_cropped.jpg,ROIDisparity,{},0.03859299999930954,,1098,852,346,444,0.8829341530799866
14,left_14_cropped.jpg,right_14_cropped.jpg,ROIDisparity,{},0.047944000016286736,,1206,394,178,182,0.9008936285972595
140,left_140_cropped.jpg,right_140_cropped.jpg,ROIDisparity,{},0.05899999996472616,,1108,856,348,440,0.8794023990631104
141,left_141_cropped.jpg,right_141_cropped.jpg,ROIDisparity,{},0.08207400003357179,,1130,828,376,468,0.8334898352622986
142,left_142_cropped.jpg,right_142_cropped.jpg,ROIDisparity,{},0.0649259999363494,,1025,849,339,447,0.8935293555259705
143,left_143_cropped.jpg,right_143_cropped.jpg,ROIDisparity,{},0.04898199995295727,,982,853,280,302,0.9044972062110901
144,left_144_cropped.jpg,right_144_cropped.jpg,ROIDisparity,{},0.05851900004927302,,948,442,228,216,0.8756686449050903
